manmo,lat,long,aircraftType,location,date,year,timeOfYear,ntsbID,no_injuries,minor_injuries,serious_injuries,fatal_injuries,total_injuries_exc_fatal,total_injuries_inc_fatal, total_uninjured
Cessna 207,58.33527777777778,-135.06694444444443,fixed,"Juneau, AK",07/17/2015,2015,summer,ANC15FA049,0,0,4,1,4,5,0
Cessna 210,37.68138888888889,-121.98472222222222,fixed,"Pleasanton, CA",05/21/2015,2015,spring,WPR15FA166,0,0,0,1,0,1,0
Beech BE 35,42.68805555555555,-103.07222222222222,fixed,"Chadron, NE",10/06/2015,2015,fall,CEN16FA005,0,0,0,1,0,1,0
Vans RV-3/4,30.354166666666668,-83.61083333333333,fixed,"Greenville, FL",12/17/2015,2015,winter,ERA16FA074,0,0,0,2,0,2,0
Piper PA 32R,46.44833333333333,-111.23111111111112,fixed,"Townsend, MT",03/26/2015,2015,spring,WPR15FA135,0,0,1,1,1,2,0
Cessna 152,29.039722222222224,-80.89527777777778,fixed,"New Smyrna Beach, FL",01/13/2015,2015,winter,ERA15FA099,0,0,0,1,0,1,0
Piper PA 28,44.217222222222226,-122.97916666666667,fixed,"Mt Tom, OR",04/21/2015,2015,spring,WPR15FA152,0,0,0,1,0,1,0
Pitts S-1/S-2,34.876666666666665,-118.82944444444443,fixed,"Lebec, CA",04/14/2015,2015,spring,WPR15FA147,0,0,0,1,0,1,0
Cessna 152,35.68611111111111,-91.77027777777778,fixed,"Batesville, AR",04/02/2015,2015,spring,CEN15FA189,0,0,0,1,0,1,0
Piper PA 28,34.50277777777778,-83.55888888888889,fixed,"Cornelia, GA",11/04/2015,2015,fall,ERA16FA032,0,0,0,3,0,3,0
Cessna 310/U3A,37.761944444444445,-107.84555555555555,fixed,"Silverton, CO",09/05/2015,2015,fall,CEN15FA400,0,0,0,4,0,4,0
Piper PA 32R TC,35.28805555555555,-119.14750000000001,fixed,"Bakersfield, CA",12/19/2015,2015,winter,WPR16FA041,0,0,0,5,0,5,0
Cessna 182,35.0,-106.0,fixed,"Sandia Park, NM",11/16/2015,2015,fall,CEN16FA042,0,0,0,3,0,3,0
De Havilland DHC-3,55.45638888888889,-131.1461111111111,fixed,"Ketchikan, AK",06/25/2015,2015,summer,ANC15MA041,0,0,0,9,0,9,0
Cessna 337/O-2,34.34055555555556,-119.01333333333334,fixed,"Santa Paula, CA",08/01/2015,2015,summer,WPR15FA227,0,0,0,1,0,1,0
Piper PA 28R,34.11638888888889,-116.70694444444445,fixed,"Morongo Valley, CA",10/17/2015,2015,fall,WPR16FA014,0,0,0,2,0,2,0
Cessna 210P,33.87972222222222,-84.29861111111111,fixed,"Atlanta, GA",11/06/2015,2015,fall,ERA16LA042,2,0,0,0,0,0,2
Cirrus Design SR22,40.77638888888889,-112.4925,fixed,"Tooele, UT",01/09/2015,2015,winter,WPR15FA082,0,0,0,1,0,1,0
Cessna 182,31.951944444444443,-105.97277777777778,fixed,"El Paso, TX",03/17/2015,2015,spring,CEN15FA174,0,0,0,1,0,1,0
Grumman Amer. AA-5,37.38916666666667,-83.24333333333334,fixed,"Rowdy, KY",05/21/2015,2015,spring,ERA15FA220,0,0,0,1,0,1,0
Cubcrafters CARBON CUB EX,41.69361111111111,-80.42472222222223,fixed,"Linesville, PA",12/07/2015,2015,winter,ERA16FA063,0,0,0,2,0,2,0
Piper PA 22,48.68944444444444,-121.97027777777778,fixed,"Twin Sisters Mtn, WA",07/11/2015,2015,summer,WPR15FA215,0,0,0,2,0,2,0
Beech BE 35,48.52111111111111,-120.74666666666667,fixed,"Mazama, WA",07/11/2015,2015,summer,WPR15FA212,0,0,1,2,1,3,0
Amer Champion 8KCAB,40.57916666666667,-75.1388888888889,fixed,"Holland, NJ",01/15/2014,2014,winter,ERA14FA093,0,0,0,1,0,1,0
Cessna 150,33.31722222222223,-84.52888888888889,fixed,"Senoia, GA",08/09/2014,2014,summer,ERA14FA377,0,0,0,2,0,2,0
Piper PA 28,34.46638888888889,-105.29722222222222,fixed,"Vaughn, NM",12/30/2014,2014,winter,CEN15FA092,0,0,0,2,0,2,0
Mooney MK 20,37.14611111111111,-106.82777777777777,fixed,"Pagosa Springs, CO",11/14/2014,2014,fall,CEN15FA051,0,0,0,2,0,2,0
Cessna 172,35.71416666666667,-95.97305555555556,fixed,"Okmulgee, OK",09/19/2014,2014,fall,CEN14FA506,0,0,0,1,0,1,0
